Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c,VigenciaDesde__c
01tWK00000G1IjQYAV,01sWK000003AnvNYAS,45500.0,true,false,37990.0,31570.0,25970.0,2000.0,6940.0,false,
01tWK00000G1IjRYAV,01sWK000003AnvNYAS,47600.0,true,false,39990.0,33070.0,26670.0,2100.0,7040.0,false,
01tWK00000G1IjSYAV,01sWK000003AnvNYAS,49600.0,true,false,43990.0,34570.0,29370.0,2100.0,5040.0,false,
01tWK00000G1IjTYAV,01sWK000003AnvNYAS,54900.0,true,false,47330.0,38370.0,31670.0,2100.0,7000.0,false,
01tWK00000G1IjUYAV,01sWK000003AnvNYAS,54900.0,true,false,49330.0,38270.0,33070.0,2100.0,5000.0,false,
01tWK00000G1IjVYAV,01sWK000003AnvNYAS,33900.0,true,false,26753.0,23847.0,16500.0,2600.0,4000.0,false,
01tWK00000G1IjWYAV,01sWK000003AnvNYAS,34900.0,true,false,29753.0,24647.0,18700.0,2600.0,2000.0,false,
01tWK00000G1IjXYAV,01sWK000003AnvNYAS,73000.0,true,false,69200.0,50100.0,46000.0,3400.0,3000.0,false,
01tWK00000G1IjYYAV,01sWK000003AnvNYAS,75000.0,true,false,72200.0,51600.0,48100.0,3400.0,2000.0,false,
01tWK00000G1IjZYAV,01sWK000003AnvNYAS,73000.0,true,false,69200.0,50000.0,46000.0,3400.0,3000.0,false,
01tWK00000G1IjaYAF,01sWK000003AnvNYAS,64850.0,true,false,59050.0,44400.0,39000.0,3150.0,5000.0,false,
01tWK00000G1IjbYAF,01sWK000003AnvNYAS,60750.0,true,false,53950.0,41800.0,35800.0,3050.0,6000.0,false,
01tWK00000G1IjcYAF,01sWK000003AnvNYAS,63840.0,true,false,53990.0,44850.0,38850.0,3050.0,6000.0,false,
01tWK00000G1IjdYAF,01sWK000003AnvNYAS,64850.0,true,false,59050.0,44400.0,39000.0,3150.0,5000.0,false,
01tWK00000G1IjeYAF,01sWK000003AnvNYAS,67850.0,true,false,63050.0,46800.0,42000.0,3150.0,4000.0,false,
01tWK00000G1IjfYAF,01sWK000003AnvNYAS,22990.0,true,false,18727.0,16063.0,12663.0,1150.0,4000.0,false,
01tWK00000G1IjgYAF,01sWK000003AnvNYAS,23990.0,true,false,20727.0,16663.0,13663.0,1150.0,3000.0,false,
01tWK00000G1IjhYAF,01sWK000003AnvNYAS,24990.0,true,false,20727.0,17463.0,14063.0,1150.0,4000.0,false,
01tWK00000G1IjiYAF,01sWK000003AnvNYAS,24990.0,true,false,21727.0,17463.0,14463.0,1150.0,3000.0,false,
01tWK00000G1IjjYAF,01sWK000003AnvNYAS,26990.0,true,false,22727.0,18863.0,15363.0,1150.0,4000.0,false,
01tWK00000G1IjkYAF,01sWK000003AnvNYAS,25990.0,true,false,22727.0,18263.0,15163.0,1150.0,3000.0,false,
01tWK00000G1IjlYAF,01sWK000003AnvNYAS,21990.0,true,false,17465.0,15425.0,12425.0,1150.0,4000.0,false,
01tWK00000G1IjmYAF,01sWK000003AnvNYAS,22990.0,true,false,18727.0,15963.0,13163.0,1150.0,4000.0,false,
01tWK00000G1IjnYAF,01sWK000003AnvNYAS,23990.0,true,false,19727.0,16763.0,13363.0,1150.0,4000.0,false,
01tWK00000G1IjoYAF,01sWK000003AnvNYAS,25990.0,true,false,21727.0,18263.0,14363.0,1150.0,4000.0,false,
01tWK00000G1IjpYAF,01sWK000003AnvNYAS,31300.0,true,false,25900.0,21300.0,18700.0,1500.0,5400.0,false,
01tWK00000G1IjqYAF,01sWK000003AnvNYAS,36400.0,true,false,31400.0,24800.0,21600.0,1600.0,5000.0,false,
01tWK00000G1IjrYAF,01sWK000003AnvNYAS,36300.0,true,false,31300.0,25100.0,20400.0,1500.0,5000.0,false,
01tWK00000G1IjsYAF,01sWK000003AnvNYAS,33490.0,true,false,27440.0,23050.0,19000.0,1600.0,5500.0,false,
01tWK00000G1IjtYAF,01sWK000003AnvNYAS,33490.0,true,false,27440.0,23250.0,17500.0,1600.0,5500.0,false,
01tWK00000G1IjuYAF,01sWK000003AnvNYAS,34990.0,true,false,28940.0,24050.0,20000.0,1600.0,5500.0,false,
01tWK00000G1IjvYAF,01sWK000003AnvNYAS,35990.0,true,false,29940.0,24850.0,20200.0,1600.0,5500.0,false,
01tWK00000G1IjwYAF,01sWK000003AnvNYAS,38490.0,true,false,31440.0,26450.0,21900.0,1750.0,6500.0,false,
01tWK00000G1IjxYAF,01sWK000003AnvNYAS,38490.0,true,false,30940.0,26450.0,21700.0,1750.0,7000.0,false,
01tWK00000G1IjyYAF,01sWK000003AnvNYAS,38490.0,true,false,31440.0,26450.0,22000.0,1750.0,6500.0,false,
01tWK00000G1IjzYAF,01sWK000003AnvNYAS,38490.0,true,false,33440.0,26750.0,21700.0,1750.0,4500.0,false,
01tWK00000G1Ik0YAF,01sWK000003AnvNYAS,35990.0,true,false,29900.0,25050.0,19400.0,1600.0,5540.0,false,
01tWK00000G1Ik1YAF,01sWK000003AnvNYAS,35990.0,true,false,29900.0,25050.0,19400.0,1600.0,5540.0,false,
01tWK00000G1Ik2YAF,01sWK000003AnvNYAS,80300.0,true,false,73300.0,71400.0,61100.0,4600.0,7000.0,false,
01tWK00000G1Ik3YAF,01sWK000003AnvNYAS,86900.0,true,false,79900.0,78200.0,67100.0,4600.0,7000.0,false,
01tWK00000G1Ik4YAF,01sWK000003AnvNYAS,31500.0,true,false,29900.0,27100.0,29476.0,1300.0,,false,
