ProductCode,UnitPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c
GWWD2J61G D D21T 2025,49600.0,42990.0,34470.0,28770.0,2000.0,6040.0,false
GWWD2J61G D D21T 2026,49900.0,44330.0,34670.0,29670.0,2000.0,5000.0,false
GWWD2J61G D D2BI 2025,45500.0,39430.0,31770.0,26470.0,1900.0,5500.0,false
GWWD2J61G D D2BI 2026,47500.0,39930.0,33770.0,28770.0,1900.0,5000.0,false
GWWDD5G1U D D1I6 2025,45500.0,37990.0,31570.0,25970.0,2000.0,6940.0,false
GWWDD5G1U D D28T 2025,47600.0,39990.0,33070.0,26670.0,2100.0,7040.0,false
GWWDD5G1U D D28T 2026,49600.0,43990.0,34570.0,29370.0,2100.0,5040.0,false
GWWDD5G1X D D28U 2025,54900.0,47330.0,38370.0,31670.0,2100.0,7000.0,false
GWWDD5G1X D D28U 2026,54900.0,49330.0,38270.0,33070.0,2100.0,5000.0,false
HEH76B858 DDBLE 2025,33900.0,26753.0,23847.0,16500.0,2600.0,4000.0,false
HEH76B858 DDBLE 2026,34900.0,29753.0,24647.0,18700.0,2600.0,2000.0,false
HHW6L9G1N G G09D 2025,73000.0,69200.0,50100.0,46000.0,3400.0,3000.0,false
HHW6L9G1N G G0FZ 2026,75000.0,72200.0,51600.0,48100.0,3400.0,2000.0,false
HHW6L9G1N G G958 2025,73000.0,69200.0,50000.0,46000.0,3400.0,3000.0,false
HHW7L9A1K D D276 2025,64850.0,59050.0,44400.0,39000.0,3150.0,5000.0,false
HHW7L9A1K D D284 2025,60750.0,53950.0,41800.0,35800.0,3050.0,6000.0,false
HHW7L9A1K D D388 2025,63840.0,53990.0,44850.0,38850.0,3050.0,6000.0,false
HHW7L9A1K D D389 2025,64850.0,59050.0,44400.0,39000.0,3150.0,5000.0,false
HHW7L9A1K D D558 2026,67850.0,63050.0,46800.0,42000.0,3150.0,4000.0,false
HQS4K3615 D D11G 2026,22990.0,18727.0,16063.0,12663.0,1150.0,4000.0,false
HQS4K361B D D0KJ 2025,23990.0,20727.0,16663.0,13663.0,1150.0,3000.0,false
HQS4K361B D D0Q0 2025,24990.0,20727.0,17463.0,14063.0,1150.0,4000.0,false
HQS4K361B D D11H 2026,24990.0,21727.0,17463.0,14463.0,1150.0,3000.0,false
HQS4K361B G G834 2025,26990.0,22727.0,18863.0,15363.0,1150.0,4000.0,false
HQS4K361B G G994 2026,25990.0,22727.0,18263.0,15163.0,1150.0,3000.0,false
HQS6K3615 D D14R 2026,21990.0,17465.0,15425.0,12425.0,1150.0,4000.0,false
HQS6K361B D D10K 2025,22990.0,18727.0,15963.0,13163.0,1150.0,4000.0,false
HQS6K361B D D10K 2026,23990.0,19727.0,16763.0,13363.0,1150.0,4000.0,false
HQS6K361B G G971 2026,25990.0,21727.0,18263.0,14363.0,1150.0,4000.0,false
I6W7D661V D D156 2025,31300.0,25900.0,21300.0,18700.0,1500.0,5400.0,false
I6W7D661V G G155. 2025,36400.0,31400.0,24800.0,21600.0,1600.0,5000.0,false
I6W7D661V G G209 2025,36300.0,31300.0,25100.0,20400.0,1500.0,5000.0,false
I7W5D6617 D D38O 2026,33490.0,27440.0,23050.0,19000.0,1600.0,5500.0,false
I7W5D6617 D D3WN 2026,33490.0,27440.0,23250.0,17500.0,1600.0,5500.0,false
I7W5D661V D D38P 2025,34990.0,28940.0,24050.0,20000.0,1600.0,5500.0,false
I7W5D661V D D38P 2026,35990.0,29940.0,24850.0,20200.0,1600.0,5500.0,false
I7W5D661V D D38Q 2026,38490.0,31440.0,26450.0,21900.0,1750.0,6500.0,false
I7W5D661V D D38R 2025,38490.0,30940.0,26450.0,21700.0,1750.0,7000.0,false
I7W5D661V D D38R 2026,38490.0,31440.0,26450.0,22000.0,1750.0,6500.0,false
I7W5D661V D D3WQ 2026,38490.0,33440.0,26750.0,21700.0,1750.0,4500.0,false
I7W5D661V D D3ZL 2026,35990.0,29900.0,25050.0,19400.0,1600.0,5540.0,false
I7W5D661V D D46H 2026,35990.0,29900.0,25050.0,19400.0,1600.0,5540.0,false
MHA3FRAD5VT1 A219 2025,80300.0,73300.0,71400.0,61100.0,4600.0,7000.0,false
MHA3FRAD5VT1 A219 2026,86900.0,79900.0,78200.0,67100.0,4600.0,7000.0,false
NLR85L-EE1AY 2026,31500.0,29900.0,27100.0,29476.0,1300.0,,false
NMR85L-EH5AY 2026,38950.0,37975.0,30100.0,36972.0,1400.0,,false
NMR85L-HH5AY 2026,39950.0,38950.0,30900.0,37984.0,1500.0,,false
NMR85L-HH5WY 2024,38900.0,36900.0,33300.0,36971.0,1500.0,,false
NMR85L-HH5WY 2025,41500.0,39500.0,35400.0,40313.0,1550.0,,false
NMR85L-HH5WY 2026,45950.0,44800.0,35600.0,44056.0,1650.0,,false
NPR75L-KL5VAYN 2026,48900.0,47400.0,39900.0,47173.0,1750.0,,false
NPR85L-HJ5VAY 2025,39900.0,39000.0,34300.0,37986.0,1500.0,,false
NPR85L-HJ5VAY 2026,42500.0,41500.0,35600.0,41215.0,1600.0,,false
NPS75L-HL5VAYN 2026,62900.0,61325.0,76800.0,33917.0,2200.0,,false
