Name,ProductCode,Family,MakeName,BusinessBrandId,IsActive
SERIE REWARD NL 2.5 TONELADAS CHASIS CORTO 3.0L A/C (NLR85E),NLR85L-EE1AY 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NMR 3.5 TONELADAS CHASIS CORTO 3.0L (NMR85E),NMR85L-EH5AY 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NMR 3.5 TONELADAS CHASIS LARGO 3.0L (NMR85H),NMR85L-HH5AY 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NMR 3.5 TONELADAS DOBLE CABINA CHASIS MEDIANO 3.0L (NMR85H),NMR85L-HH5WY 2024,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NMR 3.5 TONELADAS DOBLE CABINA CHASIS MEDIANO 3.0L (NMR85H),NMR85L-HH5WY 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NMR 3.5 TONELADAS DOBLE CABINA CHASIS MEDIANO 3.0L (NMR85H),NMR85L-HH5WY 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPR 5.0 TONELADAS CHASIS MEDIANO 5.2L (NPR75K),NPR75L-KL5VAYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPR 4 TONELADAS CHASIS MEDIANO 3.0L (NPR85H),NPR85L-HJ5VAY 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPR 4 TONELADAS CHASIS MEDIANO 3.0L (NPR85H),NPR85L-HJ5VAY 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPS 4X4 4.6 TONELADAS CHASIS MEDIANO 5.2L A/C (NPS75H),NPS75L-HL5VAYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPS 4X4 4.6 TONELADAS CHASIS MEDIANO 5.2L A/C (NPS75H),NPS75L-HL5VAYN 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPS 4X4 D. CABINA 4.3 TONELADAS CHASIS MEDIANO 5.2L A/C (NPS75H),NPS75L-HL5VWYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NPS 4X4 D. CABINA 4.3 TONELADAS CHASIS MEDIANO 5.2L A/C (NPS75H),NPS75L-HL5VWYN 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NQR 6.0 TONELADAS CHASIS CORTO 5.2L (NQR75H),NQR75L-HN5VAYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NQR 6.0 TONELADAS CHASIS MEDIANO 5.2L (NQR75K),NQR75L-KN5VAYN 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NQR 6.0 TONELADAS CHASIS MEDIANO 5.2L (NQR75K),NQR75L-KN5VAYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NQR 6.0 TONELADAS CHASIS LARGO 5.2L (NQR75L),NQR75L-LN5VAYN 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE REWARD NQR 6.0 TONELADAS CHASIS LARGO 5.2L (NQR75L),NQR75L-LN5VAYN 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE Q 2.5 TONELADAS CHASIS CORTO 3.0L (QLR77E) con AC,QLR77L-EE1AYCON 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
SERIE Q 2.5 TONELADAS CHASIS CORTO 3.0L (QLR77E),QLR77L-EE1AYCON 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
Santa Fe Tour 2.500 cc Gas T/A 4WD,S1W7L961G D D0RX 2024,Autos,Hyundai,1BUWK0000009EFE4A2,true
Palisade Prestige 2.200 cc DSL T/A SBW 4WD,S8W72FC5K G G3RP 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Palisade Prestige 2.200 cc DSL T/A SBW 4WD,S8W72FC5K G G40T 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Venue Turbo Sport 1.000 cc Gas T/A 2WD,SPW5K2G1U D D525 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Venue Turbo Bitono Elegant 1.000 cc Gas T/A 2WD,SPW5K2G1U D D526 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Venue Turbo Bitono Elegant 1.000 cc Gas T/A 2WD,SPW5K2G1U D D526 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/M 2WD,SZBB2FC57 S S537 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/M 2WD,SZBB2FC57 S S537 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Elegant 2.200 cc DSL T/A SBW 2WD,SZBB2FC5J K K608 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Elegant 2.200 cc DSL T/A SBW 2WD,SZBB2FC5J K K608 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/A 2WD,SZBB2FC5J S S350 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/A 2WD,SZBB2FC5J S S539 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/A 2WD,SZBB2FC5J S S539 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Elegant 2.200 cc DSL T/A SBW 4WD,SZBB2FC5K K K608 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Prestige 2.200 cc DSL T/A SBW 4WD,SZBB2FC5K K K609 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Prestige 2.200 cc DSL T/A SBW 4WD,SZBB2FC5K K K609 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/A 4WD,SZBB2FC5K S S539 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Tour 2.200 cc DSL T/A 4WD,SZBB2FC5K S S539 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Staria Panel 2.200 cc DSL T/M 2WD,SZF32FC57 P P712 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL4002),TCL4002 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX X-TERRAIN 4X4 D.CABINA 3.0L T/A (TCL4008),TCL4008 2025,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX WORKER 4X4 C.SENCILLA 3.0L T/M (TCL5001),TCL5001 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
