Name,ProductId,ModelCode,EngineCubicCapacity
Staria Tour 2.200 cc DSL T/M 2WD 2025,01tWK00000G1IkUYAV,SZBB2FC57 S S537,2.200 cc
Staria Tour 2.200 cc DSL T/M 2WD 2026,01tWK00000G1IkVYAV,SZBB2FC57 S S537,2.200 cc
Staria Elegant 2.200 cc DSL T/A SBW 2WD 2025,01tWK00000G1IkWYAV,SZBB2FC5J K K608,2.200 cc
Staria Elegant 2.200 cc DSL T/A SBW 2WD 2026,01tWK00000G1IkXYAV,SZBB2FC5J K K608,2.200 cc
Staria Tour 2.200 cc DSL T/A 2WD 2025,01tWK00000G1IkYYAV,SZBB2FC5J S S350,2.200 cc
Staria Tour 2.200 cc DSL T/A 2WD 2025,01tWK00000G1IkZYAV,SZBB2FC5J S S539,2.200 cc
Staria Tour 2.200 cc DSL T/A 2WD 2026,01tWK00000G1IkaYAF,SZBB2FC5J S S539,2.200 cc
Staria Elegant 2.200 cc DSL T/A SBW 4WD 2026,01tWK00000G1IkbYAF,SZBB2FC5K K K608,2.200 cc
Staria Prestige 2.200 cc DSL T/A SBW 4WD 2025,01tWK00000G1IkcYAF,SZBB2FC5K K K609,2.200 cc
Staria Prestige 2.200 cc DSL T/A SBW 4WD 2026,01tWK00000G1IkdYAF,SZBB2FC5K K K609,2.200 cc
Staria Tour 2.200 cc DSL T/A 4WD 2025,01tWK00000G1IkeYAF,SZBB2FC5K S S539,2.200 cc
Staria Tour 2.200 cc DSL T/A 4WD 2026,01tWK00000G1IkfYAF,SZBB2FC5K S S539,2.200 cc
Staria Panel 2.200 cc DSL T/M 2WD 2026,01tWK00000G1IkgYAF,SZF32FC57 P P712,2.200 cc
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL4002) 2025,01tWK00000G1IkhYAF,TCL4002,3.0L
D-MAX X-TERRAIN 4X4 D.CABINA 3.0L T/A (TCL4008) 2025,01tWK00000G1IkiYAF,TCL4008,3.0L
D-MAX WORKER 4X4 C.SENCILLA 3.0L T/M (TCL5001) 2026,01tWK00000G1IkjYAF,TCL5001,3.0L
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL5002) 2026,01tWK00000G1IkkYAF,TCL5002,3.0L
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/M (TCL5003) 2026,01tWK00000G1IklYAF,TCL5003,3.0L
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/M (TCL5004) 2026,01tWK00000G1IkmYAF,TCL5004,3.0L
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/A (TCL5005) 2026,01tWK00000G1IknYAF,TCL5005,3.0L
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/A (TCL5006) 2026,01tWK00000G1IkoYAF,TCL5006,3.0L
D-MAX X-TERRAIN 4X4 D.CABINA 3.0L T/A (TCL5008) 2026,01tWK00000G1IkpYAF,TCL5008,3.0L
D-MAX WORKER 4X2 C.SENCILLA 1.9L T/M (TCL5009) 2026,01tWK00000G1IkqYAF,TCL5009,1.9L
D-MAX V-CROSS 4X2 HR D.CABINA 1.9L T/M (TCL5010) 2026,01tWK00000G1IkrYAF,TCL5010,1.9L
D-MAX WORKER 4X4 D.CABINA 1.9L T/M (TCL5011) 2026,01tWK00000G1IksYAF,TCL5011,1.9L
D-MAX V-CROSS 4X4 D.CABINA 1.9L T/A (TCL5012) 2026,01tWK00000G1IktYAF,TCL5012,1.9L
D-MAX WORKER 4X4 C.SENCILLA 3.0L T/M (TCL6001) 2027,01tWK00000G1IkuYAF,TCL6001,3.0L
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL6002) 2027,01tWK00000G1IkvYAF,TCL6002,3.0L
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/M (TCL6003) 2027,01tWK00000G1IkwYAF,TCL6003,3.0L
